Year,School Name,Suburb,Sector,Type,Latitude,Longitude,Remoteness,Remoteness Category,LGA
2020,Heathcote Primary School,HEATHCOTE,Government,Primary,-36.924012,144.706851,1,Inner Regional,Greater Bendigo (C)
2020,Highton Primary School,HIGHTON,Government,Primary,-38.172156,144.317085,0,Major Cities,Greater Geelong (C)
2020,Huntly Primary School,HUNTLY,Government,Primary,-36.662544,144.334396,1,Inner Regional,Greater Bendigo (C)
2020,Bellbrae Primary School,BELLBRAE,Government,Primary,-38.33364403,144.2630037,1,Inner Regional,Surf Coast (S)
2020,Chiltern Primary School,CHILTERN,Government,Primary,-36.1472,146.607,1,Inner Regional,Indigo (S)
2020,Kyneton Primary School,KYNETON,Government,Primary,-37.248649,144.462536,1,Inner Regional,Macedon Ranges (S)
2020,Romsey Primary School,ROMSEY,Government,Primary,-37.35417523,144.7453792,1,Inner Regional,Macedon Ranges (S)
2020,Shelford Primary School,SHELFORD,Government,Primary,-38.0139946,143.9821391,1,Inner Regional,Golden Plains (S)
2020,Lockwood South Primary School,LOCKWOOD SOUTH,Government,Primary,-36.841657,144.156966,1,Inner Regional,Greater Bendigo (C)
2020,Marong Primary School,MARONG,Government,Primary,-36.735549,144.136339,1,Inner Regional,Greater Bendigo (C)
2020,Mount Macedon Primary School,MOUNT MACEDON,Government,Primary,-37.40479379,144.5841275,1,Inner Regional,Macedon Ranges (S)
2020,Mount Clear Primary School,MOUNT CLEAR,Government,Primary,-37.60439201,143.8681827,1,Inner Regional,Ballarat (C)
2020,Melton Primary School,MELTON,Government,Primary,-37.68077598,144.5867993,0,Major Cities,Melton (C)
2020,Fitzroy Primary School,FITZROY,Government,Primary,-37.799603,144.981511,0,Major Cities,Yarra (C)
2020,Newstead Primary School,NEWSTEAD,Government,Primary,-37.105917,144.06719,1,Inner Regional,Mount Alexander (S)
2020,Newlyn Primary School,NEWLYN,Government,Primary,-37.41202483,143.9844266,1,Inner Regional,Hepburn (S)
2020,Burwood East Primary School,BURWOOD EAST,Government,Primary,-37.859779,145.152209,0,Major Cities,Whitehorse (C)
2020,New Gisborne Primary School,NEW GISBORNE,Government,Primary,-37.46288785,144.596579,1,Inner Regional,Macedon Ranges (S)
2020,Beeac Primary School,BEEAC,Government,Primary,-38.193973,143.644279,1,Inner Regional,Colac-Otway (S)
2020,Essendon Primary School,ESSENDON,Government,Primary,-37.753095,144.921042,0,Major Cities,Moonee Valley (C)
2020,Coburg Primary School,COBURG,Government,Primary,-37.741184,144.968026,0,Major Cities,Moreland (C)
2020,Myrniong Primary School,MYRNIONG,Government,Primary,-37.61971733,144.3463198,1,Inner Regional,Moorabool (S)
2020,Mernda Primary School,MERNDA,Government,Primary,-37.59459504,145.0922429,0,Major Cities,Whittlesea (C)
2020,Portland Primary School,PORTLAND,Government,Primary,-38.347295,141.599408,2,Outer Regional,Glenelg (S)
2020,Stawell Primary School,STAWELL,Government,Primary,-37.056128,142.773775,1,Inner Regional,Northern Grampians (S)
2020,Rutherglen Primary School,RUTHERGLEN,Government,Primary,-36.056209,146.460614,1,Inner Regional,Indigo (S)
2020,Riddells Creek Primary School,RIDDELLS CREEK,Government,Primary,-37.46122119,144.6797752,1,Inner Regional,Macedon Ranges (S)
2020,Rokewood Primary School,ROKEWOOD,Government,Primary,-37.90365609,143.7228146,1,Inner Regional,Golden Plains (S)
2020,Geelong East Primary School,EAST GEELONG,Government,Primary,-38.175556,144.382972,0,Major Cities,Greater Geelong (C)
2020,Sale Primary School,SALE,Government,Primary,-38.108303,147.073643,1,Inner Regional,Wellington (S)
2020,Skipton Primary School,SKIPTON,Government,Primary,-37.686858,143.368161,1,Inner Regional,Corangamite (S)
2020,South Yarra Primary School,SOUTH YARRA,Government,Primary,-37.841353,144.985619,0,Major Cities,Melbourne (C)
2020,Stratford Primary School,STRATFORD,Government,Primary,-37.967251,147.085386,1,Inner Regional,Wellington (S)
2020,Taradale Primary School,TARADALE,Government,Primary,-37.1406,144.35,1,Inner Regional,Mount Alexander (S)
