LGA,REGION,Total Persons,  Year 12 or equivalent,  Year 11 or equivalent,  Year 10 or equivalent,  Year 9 or equivalent,  Year 8 or below,  Did not go to school,  Not stated
  Moonee Valley,  Moonee Valley (C),76325,49383,7751,7575,2912,5627,1266,1806
  Moorabool,  Moorabool (S),20688,9102,3663,4378,1729,1176,59,581
  Moreland,  Moreland (C),105191,69273,8202,9144,3870,9830,2436,2441
  Mornington Peninsula,  Mornington Peninsula (S),106814,53014,16937,20497,7382,5403,448,3135
  Mount Alexander,  Mount Alexander (S),12449,6214,1954,2224,925,701,31,402
  Moyne,  Moyne (S),10715,4471,2085,2095,919,738,33,371
  Murrindindi,  Murrindindi (S),9489,3876,1622,2160,872,618,31,307
  Nillumbik,  Nillumbik (S),39523,25010,5954,5300,1642,1052,116,454
  Northern Grampians,  Northern Grampians (S),8186,2936,1472,1732,881,776,84,312
  Port Phillip,  Port Phillip (C),68693,54756,4885,4488,1202,1891,393,1076
  Pyrenees,  Pyrenees (S),4765,1646,855,1112,526,424,12,195
  Queenscliffe,  Queenscliffe (B),2075,1214,330,294,85,74,7,66
  South Gippsland,  South Gippsland (S),19444,7549,3785,4273,1784,1375,62,615
  Southern Grampians,  Southern Grampians (S),11089,4331,2088,2283,989,914,40,449
  Stonnington,  Stonnington (C),68482,56337,4272,3585,1026,1838,441,973
  Strathbogie,  Strathbogie (S),7276,2820,1226,1662,693,592,19,262
  Surf Coast,  Surf Coast (S),19161,11428,3222,2655,856,611,37,350
  Swan Hill ,  Swan Hill (RC),12851,4692,2197,2772,1214,1210,217,545
  Towong,  Towong (S),4179,1479,768,1064,385,330,7,147
  Wangaratta ,  Wangaratta (RC),19057,7750,3439,4227,1594,1426,76,550
  Warrnambool,  Warrnambool (C),22228,9818,4042,4119,1866,1567,81,732
  Wellington,  Wellington (S),28373,10579,5344,6509,2755,2091,105,992
  West Wimmera,  West Wimmera (S),2772,958,595,637,235,241,8,93
  Whitehorse,  Whitehorse (C),103068,71810,9598,9596,3749,4973,1463,1876
  Whittlesea,  Whittlesea (C),124300,69520,13988,16958,7061,11119,2704,2944
  Wodonga,  Wodonga (C),24949,10515,3979,6316,1895,1416,154,675
  Wyndham,  Wyndham (C),128806,80365,14107,17892,6515,6158,1632,2140
  Yarra,  Yarra (C),57511,46515,3171,2822,1070,2166,859,895
  Yarra Ranges,  Yarra Ranges (S),99503,49578,16905,19115,6956,4379,455,2124
  Yarriambiack,  Yarriambiack (S),4648,1435,980,1021,471,505,28,208
  Unincorporated,  Unincorporated Vic,498,358,58,53,8,9,3,12
  No usual address (V,  No usual address (Vic.),4218,2177,542,698,364,207,67,163
  Migratory - Offshore - Shipping (V,  Migratory - Offshore - Shipping (Vic.),27,13,4,10,0,0,0,0
  Aurukun,  Aurukun (S),839,141,57,300,98,212,15,12
  Balonne,  Balonne (S),2880,1236,226,852,159,294,23,89
  Banana,  Banana (S),9241,3797,741,2920,547,961,47,229
  Barcaldine,  Barcaldine (R),1964,811,122,625,104,238,9,53
  Barcoo,  Barcoo (S),206,71,23,63,9,35,3,3
  Blackall-Tambo,  Blackall-Tambo (R),1391,503,83,444,103,195,12,48
  Boulia,  Boulia (S),268,94,16,85,22,34,0,3
  Brisbane,  Brisbane (C),708765,497154,35547,112771,17279,28782,5310,11925
  Bulloo,  Bulloo (S),244,88,26,73,15,29,4,11
  Bundaberg,  Bundaberg (R),63674,23145,4914,21788,5011,6359,305,2148
  Burdekin,  Burdekin (S),11807,4305,949,4081,742,1300,72,370
  Burke,  Burke (S),222,94,22,51,11,24,3,17
  Cairns,  Cairns (R),97901,53024,9105,23963,4306,4521,766,2214
  Carpentaria,  Carpentaria (S),1306,395,118,449,119,144,22,65
  Cassowary Coast,  Cassowary Coast (R),19338,7722,1740,5983,1216,1827,164,692
  Central Highlands ,  Central Highlands (R) ,16409,7974,1453,4890,800,843,65,391
  Charters Towers,  Charters Towers (R),7417,2810,571,2330,580,837,41,239
  Cherbourg,  Cherbourg (S),694,116,114,228,123,81,26,16
  Cloncurry,  Cloncurry (S),1887,851,166,541,116,164,15,38
  Cook,  Cook (S),2659,1152,257,778,185,188,16,83
  Croydon,  Croydon (S),162,48,12,68,13,10,3,14
  Diamantina,  Diamantina (S),172,82,21,41,15,14,0,0
  Doomadgee,  Doomadgee (S),780,115,103,375,62,99,7,19
  Douglas,  Douglas (S),7754,4069,833,1907,360,332,17,235
  Etheridge,  Etheridge (S),549,157,32,204,53,79,11,21
  Flinders ,  Flinders (S) ,1088,394,81,350,73,141,17,35
  Fraser Coast,  Fraser Coast (R),70027,24636,5696,24982,5749,6332,282,2340
  Gladstone,  Gladstone (R),39172,17854,3938,12258,2165,2074,114,771
  Gold Coast,  Gold Coast (C),360396,198874,31694,90446,17313,12835,1359,7878
  Goondiwindi,  Goondiwindi (R),6798,2901,473,2095,434,627,25,238
  Gympie,  Gympie (R),33581,12152,2757,11866,2650,3083,119,951
  Hinchinbrook,  Hinchinbrook (S),7687,2830,588,2469,473,1025,42,249
  Hope Vale,  Hope Vale (S),560,140,84,181,62,81,3,10
  Ipswich,  Ipswich (C),118043,58564,9558,32410,6421,7674,842,2575
  Isaac,  Isaac (R),11797,5853,1021,3533,590,499,28,278
  Kowanyama,  Kowanyama (S),637,136,126,236,32,93,4,14
  Livingstone,  Livingstone (S),23446,10094,1890,7742,1388,1696,56,577
  Lockhart River,  Lockhart River (S),414,94,70,111,56,48,10,21
  Lockyer Valley,  Lockyer Valley (R),24307,9301,1709,8083,1759,2523,139,801
  Logan,  Logan (C),190436,94155,16007,52122,11052,10800,2241,4060
  Longreach,  Longreach (R),2405,1129,159,673,140,186,9,114
  Mackay,  Mackay (R),74174,32111,6542,23755,4288,5232,244,2008
  McKinlay,  McKinlay (S),580,251,38,202,40,41,0,7
  Mapoon,  Mapoon (S),209,36,18,80,26,31,0,7
  Maranoa,  Maranoa (R),8014,3456,524,2554,433,729,58,255
  Mareeba,  Mareeba (S),13553,5678,1086,3891,820,1384,124,578
